Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad
62.26,32.0,69481.85,172.83,Decentralized real-time circuit,Lisafort,Male,Svalbard & Jan Mayen Islands,2016-06-09 21:43:05,0
41.73,31.0,61840.26,207.17,Optional full-range projection,West Angelabury,Male,Singapore,2016-01-16 17:56:05,0
44.4,30.0,57877.15,172.83,Total 5thgeneration standardization,Reyesfurt,Female,Guadeloupe,2016-06-29 10:50:45,0
59.88,28.0,56180.93,207.17,Balanced empowering success,New Michael,Female,Zambia,2016-06-21 14:32:32,0
49.21,30.0,54324.73,201.58,Total 5thgeneration standardization,West Richard,Female,Qatar,2016-07-21 10:54:35,1
51.3,26.0,51463.17,131.68,Focused multi-state workforce,Port Maria,Female,Cameroon,2016-05-15 13:18:34,0
66.08,43.0,73538.09,136.4,Optimized upward-trending productivity,Port Jeffrey,Male,Turkey,2016-04-03 21:13:46,1
36.08,26.0,74903.41,228.78,Programmable uniform website,East Kevinbury,Male,French Guiana,2016-03-11 06:49:10,0
46.14,33.0,43974.49,196.77,Customizable tangible hierarchy,Lake Annashire,Male,Vanuatu,2016-03-24 06:36:52,0
51.65,51.0,74535.94,188.56,Function-based incremental standardization,Edwardmouth,Female,Cameroon,2016-01-31 05:12:44,0
47.64,29.0,53431.35,200.71,Digitized content-based circuit,East Carlos,Female,Burundi,2016-03-09 00:41:46,0
65.07,34.0,34191.23,187.09,Team-oriented transitional methodology,Port Robin,Male,Equatorial Guinea,2016-04-05 18:02:49,1
55.6,24.0,52252.91,167.22,Configurable disintermediate throughput,North Daniel,Female,Guinea,2016-06-11 06:47:55,1
62.26,25.0,50671.6,138.71,Intuitive radical forecast,Nelsonfurt,Male,Hong Kong,2016-03-18 13:00:12,0
78.84,27.0,69646.35,239.32,Front-line bandwidth-monitored capacity,Johnstad,Female,Spain,2016-05-21 01:36:16,0
56.39,40.0,40468.53,140.46,Inverse zero-defect capability,North Randy,Female,Uganda,2016-01-03 16:01:40,1
