Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad,Hour,Day,Month
62.26,32.0,69481.85,172.83,Decentralized real-time circuit,234,1,174,2016-06-09 21:43:05,0,21,9,6
41.73,31.0,61840.26,207.17,Optional full-range projection,460,1,166,2016-01-16 17:56:05,0,17,16,1
44.4,30.0,57877.15,172.83,Total 5thgeneration standardization,379,0,71,2016-06-29 10:50:45,0,10,29,6
59.88,28.0,56180.93,207.17,Balanced empowering success,269,0,205,2016-06-21 14:32:32,0,14,21,6
49.21,30.0,54324.73,201.58,Total 5thgeneration standardization,495,0,149,2016-07-21 10:54:35,1,10,21,7
51.3,26.0,51463.17,131.68,Focused multi-state workforce,361,0,29,2016-05-15 13:18:34,0,13,15,5
66.08,43.0,73538.09,136.4,Optimized upward-trending productivity,355,1,187,2016-04-03 21:13:46,1,21,3,4
36.08,26.0,74903.41,228.78,Programmable uniform website,75,1,59,2016-03-11 06:49:10,0,6,11,3
46.14,33.0,43974.49,196.77,Customizable tangible hierarchy,189,1,200,2016-03-24 06:36:52,0,6,24,3
51.65,51.0,74535.94,188.56,Function-based incremental standardization,90,0,29,2016-01-31 05:12:44,0,5,31,1
47.64,29.0,53431.35,200.71,Digitized content-based circuit,64,0,27,2016-03-09 00:41:46,0,0,9,3
65.07,34.0,34191.23,187.09,Team-oriented transitional methodology,367,1,50,2016-04-05 18:02:49,1,18,5,4
55.6,24.0,52252.91,167.22,Configurable disintermediate throughput,298,0,75,2016-06-11 06:47:55,1,6,11,6
62.26,25.0,50671.6,138.71,Intuitive radical forecast,258,1,81,2016-03-18 13:00:12,0,13,18,3
78.84,27.0,69646.35,239.32,Front-line bandwidth-monitored capacity,161,0,171,2016-05-21 01:36:16,0,1,21,5
56.39,40.0,40468.53,140.46,Inverse zero-defect capability,316,0,191,2016-01-03 16:01:40,1,16,3,1
54.43,39.0,56180.93,124.44,Intuitive exuding service-desk,450,0,156,2016-01-03 07:13:53,0,7,3,1
60.23,43.0,31092.93,234.26,Optimized upward-trending productivity,517,1,136,2016-04-03 21:13:46,1,21,3,4
41.73,31.0,61840.26,207.17,User-friendly client-server instruction set,269,1,166,2016-06-21 14:32:32,0,14,21,6
89.05,38.0,57868.44,170.13,Synergized clear-thinking protocol,436,1,203,2016-01-15 19:40:47,1,19,15,1
56.39,46.0,54286.1,193.29,Configurable tertiary capability,381,0,117,2016-02-28 23:10:32,1,23,28,2
39.96,45.0,59886.58,174.88,Secured 24hour policy,118,0,152,2016-03-05 12:03:41,1,12,5,3
59.22,28.0,53058.91,217.37,Total directional approach,260,0,104,2016-05-30 18:08:19,0,18,30,5
47.74,33.0,68094.85,188.56,Extended context-sensitive monitoring,281,1,200,2016-04-18 15:54:33,0,15,18,4
86.06,35.0,73889.99,158.29,De-engineered attitude-oriented projection,411,1,20,2016-03-18 13:00:12,0,13,18,3
55.6,30.0,58677.69,184.88,Proactive context-sensitive project,298,0,75,2016-05-06 21:07:31,1,21,6,5
61.22,25.0,50506.44,194.95,Automated mobile model,461,0,156,2016-01-03 07:13:53,0,7,3,1
60.53,33.0,68094.85,162.03,Synchronized multi-tasking ability,159,0,84,2016-06-10 11:31:33,0,11,10,6
90.97,31.0,38817.4,171.23,Automated mobile model,306,0,5,2016-06-10 03:56:41,0,3,10,6
41.73,28.0,71222.4,217.37,Centralized logistical secured line,128,0,62,2016-02-15 16:52:04,0,16,15,2
74.59,27.0,36884.23,214.42,Business-focused holistic benchmark,105,0,171,2016-07-03 04:11:40,0,4,3,7
47.48,29.0,57545.56,216.49,Mandatory coherent groupware,37,0,27,2016-01-16 16:40:30,0,16,16,1
40.47,35.0,54429.17,236.87,Optional multi-state hardware,345,0,157,2016-06-21 03:14:41,1,3,21,6
54.88,21.0,61009.1,157.04,Function-based context-sensitive secured line,430,0,82,2016-01-17 15:10:31,0,15,17,1
82.07,41.0,57846.68,187.76,Progressive asynchronous adapter,484,1,80,2016-05-13 11:57:12,1,11,13,5
59.22,40.0,40468.53,140.46,Networked responsive application,351,0,45,2016-07-01 01:12:04,1,1,1,7
82.07,22.0,51363.16,180.47,Profit-focused secondary portal,303,1,179,2016-05-31 23:32:00,0,23,31,5
57.24,33.0,49101.67,120.75,Compatible composite project,279,1,0,2016-03-24 06:36:52,1,6,24,3
44.33,39.0,48335.2,258.62,Cloned object-oriented benchmark,506,0,118,2016-03-15 06:54:21,1,6,15,3
41.73,31.0,59886.58,207.17,Optional full-range projection,318,1,60,2016-03-30 14:36:55,0,14,30,3
71.03,31.0,40182.84,207.17,Decentralized client-driven data-warehouse,268,0,62,2016-01-31 06:14:10,1,6,31,1
89.05,55.0,38260.89,187.76,Polarized tangible collaboration,41,0,185,2016-04-21 09:30:35,1,9,21,4
55.6,35.0,73889.99,236.87,Robust uniform framework,516,0,125,2016-06-11 06:47:55,0,6,11,6
42.04,37.0,67132.46,139.32,Vision-oriented attitude-oriented Internet solution,196,0,41,2016-05-21 01:36:16,0,1,21,5
43.49,37.0,51691.55,217.37,Streamlined homogeneous analyzer,337,0,9,2016-06-17 17:11:16,1,17,17,6
51.24,36.0,32549.95,109.07,Operative stable moderator,519,1,2,2016-04-27 04:28:17,0,4,27,4
68.01,33.0,41547.62,204.02,Customizable tangible hierarchy,281,1,200,2016-07-09 11:04:54,0,11,9,7
46.61,29.0,53431.35,227.37,Synchronized multi-tasking ability,407,0,68,2016-05-12 21:32:06,1,21,12,5
82.07,43.0,52563.22,121.28,Reverse-engineered maximized focus group,308,0,14,2016-04-17 21:39:11,1,21,17,4
63.45,32.0,57691.95,178.92,Business-focused transitional solution,234,1,99,2016-03-31 20:55:22,0,20,31,3
36.56,46.0,40468.53,229.12,Front-line system-worthy flexibility,519,0,17,2016-04-04 08:19:54,1,8,4,4
51.56,29.0,56113.37,208.05,Advanced modular Local Area Network,514,0,27,2016-06-19 22:08:15,0,22,19,6
52.84,42.0,60514.05,199.43,Virtual 5thgeneration neural-net,136,1,44,2016-02-15 16:52:04,1,16,15,2
47.74,52.0,32635.7,186.37,Business-focused transitional solution,336,1,42,2016-07-19 08:32:10,1,8,19,7
65.77,34.0,59785.94,168.34,Cloned explicit middleware,182,1,126,2016-02-27 08:52:50,0,8,27,2
56.39,46.0,40468.53,253.48,Automated multi-state toolset,304,0,17,2016-04-06 14:16:52,0,14,6,4
76.64,31.0,56180.93,207.17,Focused 3rdgeneration pricing structure,344,0,41,2016-06-21 14:32:32,0,14,21,6
57.99,34.0,40763.13,168.34,Cloned explicit middleware,188,1,126,2016-02-08 14:02:22,0,14,8,2
55.92,42.0,60514.05,236.87,Multi-layered tangible portal,384,0,107,2016-04-06 11:24:21,0,11,6,4
70.09,45.0,59610.81,227.73,Secured 24hour policy,27,0,23,2016-04-08 14:35:44,1,14,8,4
72.23,30.0,57877.15,244.91,Cross-platform logistical pricing structure,333,1,20,2016-05-08 10:25:08,0,10,8,5
61.22,28.0,39799.73,212.87,Sharable reciprocal project,269,1,15,2016-07-08 03:47:41,0,3,8,7
55.6,35.0,42993.48,221.18,Optional multi-state hardware,144,1,81,2016-03-18 13:22:35,0,13,18,3
59.05,33.0,43974.49,135.67,Customer-focused fault-tolerant implementation,34,1,200,2016-03-24 06:36:52,1,6,24,3
55.79,22.0,21644.91,136.21,Function-based context-sensitive secured line,41,0,23,2016-07-03 04:11:40,0,4,3,7
68.01,33.0,49101.67,204.27,Focused coherent success,418,1,200,2016-02-06 17:48:28,1,17,6,2
59.51,40.0,66574.0,232.78,Sharable reciprocal project,284,1,66,2016-03-18 13:00:12,0,13,18,3
81.32,49.0,39031.89,195.69,Streamlined homogeneous analyzer,464,1,128,2016-04-04 20:01:12,1,20,4,4
63.45,45.0,59886.58,187.76,Enhanced homogeneous moderator,248,1,187,2016-02-05 16:50:58,1,16,5,2
72.19,39.0,58287.86,225.99,Business-focused real-time toolset,318,1,81,2016-04-07 15:18:10,0,15,7,4
53.68,37.0,23936.86,109.29,Phased content-based middleware,111,1,18,2016-07-08 03:47:41,0,3,8,7
41.73,28.0,67301.39,120.49,Down-sized bandwidth-monitored core,128,0,3,2016-06-21 14:32:32,0,14,21,6
82.07,43.0,32635.7,198.45,Optimized upward-trending productivity,508,1,187,2016-04-03 21:13:46,1,21,3,4
